,,ChatGPT made this…,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Links & Resources (click)
,,,,,,,,,,,,,
,,Sales Person,Geo,Product,Date,Amount,Boxes,Expenses,Category,,,,
,,Dotty Strutley,Australia,Almond Choco,29-Jun-22,"$5,439",188,"$2,295",Bars,,,,
,,Gigi Bohling,Australia,85% Dark Bars,24-Oct-22,"$4,452",405,"$2,855",Bars,,,,
,,Gigi Bohling,UK,Orange Choco,27-Jan-22,"$12,152",434,"$5,481",Bars,,,,
,,Jehu Rudeforth,India,Smooth Sliky Salty,1-Feb-22,"$1,463",59,$492,Bars,,,,
,,Madelene Upcott,USA,Peanut Butter Cubes,20-Mar-23,"$11,669",615,"$6,956",Bites,,,,
,,Dotty Strutley,Australia,Fruit & Nut Bars,19-Apr-23,"$3,430",490,"$3,572",Bars,,,,
,,Rafaelita Blaksland,Australia,Fruit & Nut Bars,25-Jul-22,"$1,694",212,"$1,545",Bars,,,,
,,Camilla Castle,USA,Almond Choco,28-Apr-23,"$8,736",364,"$4,444",Bars,,,,
,,Van Tuxwell,Canada,Drinking Coco,16-Jan-23,"$5,803",215,"$2,971",Other,,,,
,,Husein Augar,Australia,Raspberry Choco,13-Jul-22,"$8,743",324,"$3,104",Bars,,,,
,,Dotty Strutley,USA,Raspberry Choco,21-Sep-22,"$15,099",581,"$5,566",Bars,,,,
,,Dennison Crosswaite,Canada,Raspberry Choco,23-Mar-22,"$6,139",237,"$2,270",Bars,,,,
,,Husein Augar,Canada,Almond Choco,20-Jul-22,"$4,977",185,"$2,259",Bars,,,,
,,Van Tuxwell,India,Choco Coated Almonds,30-Jun-23,"$3,780",315,"$1,386",Bites,,,,
,,Van Tuxwell,New Zealand,Fruit & Nut Bars,25-Apr-23,"$6,286",572,"$4,170",Bars,,,,
,,Kaine Padly,Canada,After Nines,9-Mar-22,"$5,943",271,"$2,626",Bites,,,,
,,Dotty Strutley,UK,Eclairs,25-May-22,"$2,478",248,"$1,185",Bites,,,,
,,Kelci Walkden,Australia,Smooth Sliky Salty,20-Oct-22,"$3,927",187,"$1,560",Bars,,,,
,,Barr Faughny,Australia,Orange Choco,27-Feb-23,"$14,049",502,"$6,340",Bars,,,,
,,Beverie Moffet,India,70% Dark Bites,6-Jan-22,"$1,148",43,$457,Bites,,,,
,,Oby Sorrel,UK,Drinking Coco,28-Feb-22,"$17,094",744,"$10,282",Other,,,,
,,Kelci Walkden,USA,Organic Choco Syrup,15-Sep-22,"$10,255","1,465","$6,636",Other,,,,
,,Jan Morforth,Canada,99% Dark & Pure,16-Feb-23,"$5,656","1,132","$2,196",Bars,,,,
,,Jan Morforth,India,White Choc,14-Nov-22,"$6,853",528,"$4,419",Other,,,,
,,Beverie Moffet,Australia,99% Dark & Pure,15-Mar-22,"$4,606",512,$993,Bars,,,,
,,Dotty Strutley,USA,Manuka Honey Choco,2-Jun-23,"$16,632","1,040","$11,627",Other,,,,
